action,stake,conviction,condition_id,outcome,asset,title,slug,current_price,avg_entry_price,total_current_value,supporting_traders,opposing_traders,supporting_score,opposing_score,traders,opposing_outcomes
WAIT,0,40.99666666666666666666666667,0xbb6ddf9ffc2d412b84a285b0c183ee978045efadbe249334cf187a80f842b5d9,St. Louis Cardinals,12986416190219655361163694422089275265529033380604247864951148274994035603604,Chicago Cubs vs. St. Louis Cardinals,mlb-chc-stl-2026-07-28,0.475,0.48,1900,1,0,41.99,0,Trader05,
WAIT,0,40.44789066666666666666666667,0x818751cc1b089a0b217376b7ee470f44b363d77f0aab9e282b9cbe540fd486d1,Connecticut Sun,45101806198641653968677421848705175119553212001806765636246217462862916812692,Connecticut Sun vs. Washington Mystics,wnba-conn-wsh-2026-07-28,0.315,0.3231,1845.1224,1,0,41.99,0,Trader05,
IGNORE,0,37.493772,0xd21dca86e59db34a32fac231897aded451dce6e1307baf15ca9502b29b3d9b07,Yes,71442248608680775392175387904764925142154791124955324705502495372378633558564,Will Kawhi play for the Toronto Raptors in 2026-27?,will-kawhi-play-for-the-toronto-raptors-in-2026-27-20260629144043516,0.753,0.8727,986.3772,1,0,58.89,0,Trader09,
IGNORE,0,34.81866896816263904871499809,0xfd2052594f25def40a18550640ee55714e2b45e1302e1ed59a8b96427742992d,Under,40180577439693708452987018689356388198535720241776528427831303289493228384534,Atlanta Braves vs. Chicago White Sox: O/U 8.5,mlb-atl-cws-2026-06-11-total-8pt5,0.325,0.4991,6510.5405,1,1,60.83,32.08,Trader01,Over
IGNORE,0,30.87298866666666666666666667,0x717c526bb6a5946f75423352cdbd0d92ab87651710a7740997126d58b3a7925d,Under,9895097611697410479950333594702973431025230627336641447590897043720220092124,Boston Red Sox vs. New York Yankees: O/U 8.5,mlb-bos-nyy-2026-06-06-total-8pt5,0.715,0.51,887.6322,1,0,41.99,0,Trader05,
IGNORE,0,28.87402707651150347779561262,0xa9d073134c793328712b4996dcf1e170e85f5ee3ed77c34912f77206b1b353b3,Under,23603691350597773193799267388861759468614968889971414893524424788866371034769,PortlandFire vs. Las Vegas Aces: O/U 178.5,wnba-por-las-2026-07-28-total-178pt5,0.535,0.5026286516662882016549342513,195.0774,2,1,87.22,45.23,"Trader05, Trader15",Over
IGNORE,0,28.80720766666666666666666667,0x844725c9782a9f9cf21d8567737859a5a9ec749cdfc175fb26b02efa088e1897,Atlanta Braves,68652355130780643598135432395354243293640057135537700616349625356770930355160,1st 5 Innings Spread: Atlanta Braves (-1.5),mlb-atl-cws-2026-06-11-f5-spread-away-1pt5,0.525,0.3861,681.0541,1,0,41.99,0,Trader05,
IGNORE,0,28.10545366666666666666666667,0xc53b6056373f3659365afa094b4ba9af14f540b576a8ca0347309be8b4ed3228,Under,55493613511176998081819315048480012158342616545272583543226066833035560810012,Boston Red Sox vs. New York Yankees: O/U 7.5,mlb-bos-nyy-2026-06-06-total-7pt5,0.6045,0.42,610.8787,1,0,41.99,0,Trader05,
IGNORE,0,27.69477766666666666666666667,0xe4c604a80e67e6754c2686144ab6f82d5e3fc62132957dc5317a64cbc894f5ab,No,50994092474820928733005284319199792425025402912875233644624519345324508507780,Cincinnati Reds winning after 5 innings?,mlb-cle-cin-2026-07-27-first-five-winner-home,0.775,0.4333,569.8111,1,0,41.99,0,Trader05,
IGNORE,0,27.19655866666666666666666667,0x5d7b76298753a24351d1a63b8cf4c60ba9f58a019796d3e2b34cd0f0b0452775,Atlanta Braves,5217434508079859130777270777605069256872238653475075028027490093372922789029,1st 5 Innings Spread: Atlanta Braves (-2.5),mlb-atl-cws-2026-06-11-f5-spread-away-2pt5,0.52,0.29,519.9892,1,0,41.99,0,Trader05,
IGNORE,0,26.99666666666666666666666667,0xb7b7f4f49eb23963a9ae22f10bc8f78fdd27454adc589f7badb1c56a1992b37c,Under,22399094481008089330552555964928531517194117197195896280987827423858566774801,St. Louis Cardinals vs. Cincinnati Reds: O/U 8.5,mlb-stl-cin-2026-05-24-total-8pt5,0.5,0.35,500,1,0,41.99,0,Trader05,
IGNORE,0,26.87508266666666666666666667,0xf7a94abbbd7784acedc7c0bd400e80f9f9f773df332e00320bf72bb5474f8256,Seattle Storm,49218249796660425903835071408522888745371632588011681481137545925484407945307,Indiana Fever vs. Seattle Storm,wnba-ind-sea-2026-07-28,0.225,0.2151,487.8416,1,0,41.99,0,Trader05,
IGNORE,0,26.38875166666666666666666667,0xa7c6b77dd26e4b36d90ea32e4340e408ff81ba6b9ed7f6d73f399ba577b6d24a,Over,16619631499453757144775210400345872206867999496112530220805917810485849002551,Philadelphia Phillies vs. Miami Marlins: O/U 7.5,mlb-phi-mia-2026-07-28-total-7pt5,0.545,0.56,832.2085,1,0,30.2,0,Trader06,
IGNORE,0,26.20337466666666666666666667,0x73570647357264b622a8431a3c91b7ddbfa2638bf595f594f4eb9b77b28fd05c,No,24528839208875630610878113823619558370442913388271630514938661663979664228886,Will SK Iberia 1999 win on 2026-07-29?,ucl-sba-sab-2026-07-29-sab,0.895,0.88,420.6708,1,0,41.99,0,Trader05,
IGNORE,0,25.95833333333333333333333333,0xb743a55c7570de6dbc6ac5e584f98cc39edd3a1058c5c774fa88d8bc271f1b2f,Islam Dulatov,31174485545012622680744632010357416264529839717800002111221218193628498921495,"UFC Fight Night: Wellington Turman vs. Islam Dulatov (Welterweight, Main Card)",ufc-wel-isl2-2026-07-25,0.5,0.86,726.5,1,0,32.08,0,Trader10,
IGNORE,0,25.13315266666666666666666667,0x85cdc38e839fe19a30cca97e05c668ab6028e8db377de739e82169f5f26ffa60,Kansas City Royals,16485962208981875638485073566539340306467652604665889660757279815951129748983,Kansas City Royals vs. Minnesota Twins,mlb-kc-min-2026-07-28,0.385,0.38,313.6486,1,0,41.99,0,Trader05,
IGNORE,0,25.09912666666666666666666667,0x11811b240a44b7cce3beec31d61223b2fc4bca8752956bdf862e265bd69831f6,Yes,90570730666613917518574871037492279122311153102967909821606494664520575912237,Will MH Hapoel Be'er Sheva win on 2026-07-29?,ucl-hbs-vik-2026-07-29-hbs,0.605,0.5877,310.246,1,0,41.99,0,Trader05,
IGNORE,0,24.89781266666666666666666667,0xe0ead671e5df8e2db083079d2d97f4302f3e3450537d3e1507e1c517a6b37b12,Under,41264983097704789724375710955150502201974643076973295770915096089300877440443,PortlandFire vs. Las Vegas Aces: O/U 179.5,wnba-por-las-2026-07-28-total-179pt5,0.555,0.5347,182.1146,1,0,45.23,0,Trader15,
IGNORE,0,24.74985666666666666666666667,0xe6a266eefdb47b5942ffc451a80941a4239bc8968e121b30f05bf212fb9c268a,Over,101511184641233258770864097682854580974952463918311771480350760250219175702146,Shamrock Rovers FC vs. Ararat-Armenia FA: O/U 2.5,ucl-shr-a-a-2026-07-28-total-2pt5,0.615,0.5283,275.319,1,0,41.99,0,Trader05,
IGNORE,0,24.74066666666666666666666667,0x6ab7cc8613e8d0e151a6f8fede07b69b6a5ab58e1a6b4c5f579f73fef7275c0b,San Francisco Giants,109153606754735959951251747483806713159163651685894507206814926823497186638146,Spread: Milwaukee Brewers (-1.5),mlb-mil-sf-2026-07-28-spread-away-1pt5,0.56,0.54,274.4,1,0,41.99,0,Trader05,
IGNORE,0,24.62166666666666666666666667,0x9a2e224a552fa09ae95c8fb1587db8505a2014ce159b06a12e061558d7434bb2,Seattle Mariners,30251853029331717378887988364818253288258088498175540542059545376028292526548,Spread: Los Angeles Dodgers (-1.5),mlb-sea-lad-2026-07-28-spread-home-1pt5,0.525,0.53,262.5,1,0,41.99,0,Trader05,
IGNORE,0,24.55097866666666666666666667,0xda57f4258843da05bd53bb9f117b770dfa931a53e5bb2b6e887051dc160e3b12,No,66653703519021895273049443694585521111795115913875590728731769403638550918185,Exact Score: Heart of Midlothian FC 0 - 3 SK Puntigamer Sturm Graz?,ucl-hmi-stu1-2026-07-28-exact-score-0-3,0.855,0.9843,255.4312,1,0,41.99,0,Trader05,
IGNORE,0,24.41892266666666666666666667,0x096b88e7001b6625ee1a57b757256048e9d2a026be2fb5a7ecd2f91ab0b614f8,San Francisco Giants,6972046938596297842444749551820499066499785909974026242302202448385841343784,Spread: Atlanta Braves (-1.5),mlb-sf-atl-2026-06-18-spread-home-1pt5,0.795,0.61,242.2256,1,0,41.99,0,Trader05,
IGNORE,0,24.35915766666666666666666667,0x92d57cc7f4bd1e1920dbe767bf4bc571c559b9c66b470bc3149e7d24caa5178d,New York Liberty,30069538319029494498679813988570215224070977795131808923740087360163452428588,Spread: New York Liberty (-4.5),wnba-nyl-la-2026-07-28-spread-away-4pt5,0.525,0.52,236.2491,1,0,41.99,0,Trader05,
IGNORE,0,24.34666666666666666666666667,0x2d96243a0062529f0ba37bfad38d34bfd02b302104835bb1b1668346518ceb8e,Over,54949518755412845876918799711316404695202400247376095179058325383031438796970,Philadelphia Phillies vs. Miami Marlins: 1st 5 Innings O/U 4.5,mlb-phi-mia-2026-07-28-f5-total-4pt5,0.47,0.48,235,1,0,41.99,0,Trader05,
IGNORE,0,24.32166666666666666666666667,0xcede7da052154d84f2a6b625bedc01c1d4f6bb627fc6ff45c529c0f8c71e2a2f,Under,115678871736129759130962157948746331849081525663714924182972745524297711011009,Boston Red Sox vs. Athletics: O/U 9.5,mlb-bos-oak-2026-07-28-total-9pt5,0.465,0.495,232.5,1,0,41.99,0,Trader05,
IGNORE,0,24.30010966666666666666666667,0xad9a4c425f45d11a8822d60de9ce06f045be8031fc50a19146f87b4f63775819,Los Angeles Sparks,82942159412206347915297744227629087562627434339625023310218213595759046639129,New York Liberty vs. Los Angeles Sparks,wnba-nyl-la-2026-07-28,0.355,0.36,230.3443,1,0,41.99,0,Trader05,
IGNORE,0,24.24933266666666666666666667,0x6e9d5abae8a82e3ee3709969596ae0bf8cec3671df5ff6b3dd76b173cf671691,Over,89973929503176007756733360098305158443431329705475754421407343990121791299409,Baltimore Orioles vs. Detroit Tigers: O/U 9.5,mlb-bal-det-2026-07-28-total-9pt5,0.465,0.4651,225.2666,1,0,41.99,0,Trader05,
IGNORE,0,24.24066666666666666666666667,0x061fdabb07b5385bc0b13f50e2b1923231acd328f931eddb3a87aabbbc11932d,Over,90999697754353400905343206391698904633162139754509602513340911127477743649930,Toronto Tempo vs. Minnesota Lynx: O/U 182.5,wnba-tor-min-2026-07-28-total-182pt5,0.6,0.5726,116.4,1,0,45.23,0,Trader15,
IGNORE,0,24.14778866666666666666666667,0xe72d70adc537902b247c817de0140115f6e681213cf7c770bb60f98dc593fba7,Under,91192825584905415056976476831692140738798875306116741213898300736676523752577,O/U 1.5 Rounds,ufc-kyl2-mat13-2026-08-01-totals-1pt5,0.41,0.4,215.1122,1,0,41.99,0,Trader05,
IGNORE,0,24.11961666666666666666666667,0x7dea18bfaa189002f6a78af4af3206fa0e13b0d5fddaa2261077851f28812286,Under,17354441175809142842532518348196492544964234481064095738973601182504998912348,Indiana Fever vs. Seattle Storm: O/U 184.5,wnba-ind-sea-2026-07-28-total-184pt5,0.475,0.4668,212.295,1,0,41.99,0,Trader05,
IGNORE,0,23.86572366666666666666666667,0x311e7a05e4d53151d1e45e09871c514210696627576ef083db47053de07ef1ca,PortlandFire,66190214203539176820925597485985707180765679487119229948476249846633478813032,PortlandFire vs. Las Vegas Aces,wnba-por-las-2026-07-28,0.155,0.1593,186.9057,1,0,41.99,0,Trader05,
IGNORE,0,23.73590366666666666666666667,0x237fd140d8c1690c50a5a58fec8bfdfddbd05fbc708ab95af4e126a6c8ba829e,No,89454027558232021147322007783810784035602344512650633980845743072314824364412,Will AS Omónoia Leukosías win on 2026-07-29?,ucl-kai-omo-2026-07-29-omo,0.715,0.7,173.9237,1,0,41.99,0,Trader05,
IGNORE,0,23.70084766666666666666666667,0x51703c4231d023fb1734bf88738a1ecf31637e6cef016114e35b0a994d39e6d9,KF Víkingur,6624024570531543803662771378564881958937688369967955020349295417991019269339,MH Hapoel Be'er Sheva vs. KF Víkingur: Team to Advance,ucl-hbs-vik-2026-07-29-team-to-advance,0.505,0.49,170.4181,1,0,41.99,0,Trader05,
IGNORE,0,23.48362366666666666666666667,0xce7886d58553394abb2269b9be02385a2133fe1c7b26136903bcabb42811a213,Toronto Tempo,95641740915148314015811468768628333968088142902579197464749664331853255317094,Spread: Minnesota Lynx (-14.5),wnba-tor-min-2026-07-28-spread-home-14pt5,0.445,0.4749,148.6957,1,0,41.99,0,Trader05,
IGNORE,0,23.48256566666666666666666667,0x192cdd3b793725adb1cc54af7a878999d1448754e979b97a5afe4c023b905d63,New York Liberty,55723703890942854915757638879664911580455724846320847909873238204885537820971,Spread: New York Liberty (-5.5),wnba-nyl-la-2026-07-28-spread-away-5pt5,0.495,0.46,40.5899,1,0,45.23,0,Trader15,
IGNORE,0,23.35105466666666666666666667,0x3edbe7c132f79543c2a3b719faf01df00bdc512b359e3c4e9242fb71efee3d1e,Indiana Fever,86879700910521190924619752659600470157219901213416656483522214609933850645250,Spread: Indiana Fever (-9.5),wnba-ind-sea-2026-07-28-spread-away-9pt5,0.445,0.47,27.4388,1,0,45.23,0,Trader15,
IGNORE,0,23.30916666666666666666666667,0xc1dc6e3d75ad31cfdbad714db394d9b96897d485d9b8ecce2503017b2795a39b,Over,2555428772846922935953855571760403348870334650682089612557901103702361005686,Toronto Blue Jays vs. Washington Nationals: O/U 8.5,mlb-tor-wsh-2026-07-28-total-8pt5,0.525,0.53,131.25,1,0,41.99,0,Trader05,
IGNORE,0,23.27166666666666666666666667,0x8b7e6943aff636b0073ec3e1939318108641aec5d1a04635d733cc72ce265302,Under,95068124579440087952576903555131840182542254581211458404504127358897237239245,Connecticut Sun vs. Washington Mystics: O/U 157.5,wnba-conn-wsh-2026-07-28-total-157pt5,0.425,0.455,127.5,1,0,41.99,0,Trader05,
IGNORE,0,23.25916666666666666666666667,0xf6bb670512bfb5171fc7e22e3714475eb03c2cf39a76af548524e3de9068713f,Under,24525666767725410425513863150697683748464080467475673297945508424250683028065,Houston Astros vs. Los Angeles Angels: O/U 8.5,mlb-hou-laa-2026-07-28-total-8pt5,0.505,0.51,126.25,1,0,41.99,0,Trader05,
IGNORE,0,23.23106766666666666666666667,0x75e60b8987fa43bc8242c795d611f6b7002321e8b291488da23fed83993ca379,Over,102898181483006747342969663217345391281704981182468414100493758490095090048306,Kansas City Royals vs. Minnesota Twins: O/U 8.5,mlb-kc-min-2026-07-28-total-8pt5,0.555,0.56,123.4401,1,0,41.99,0,Trader05,
IGNORE,0,23.19666666666666666666666667,0x33d0df59b129460856bcf04a4e73a661afd5527ba07ba4b0026a817dd451a47f,No,102016662833674221120933041060376195703170795988226578197434709136956562907768,Will there be a run scored in the first inning?: Toronto Blue Jays vs. Washington Nationals,mlb-tor-wsh-2026-07-28-nrfi,0.48,0.48,120,1,0,41.99,0,Trader05,
IGNORE,0,23.15916666666666666666666667,0x93df824adfd9b536362965d28768b42215f9d048261ee6363932b6db2a599cc5,Under,105453994288097619457877120601362914186205859475403692407828813431525166486437,Toronto Blue Jays vs. Washington Nationals: 1st 5 Innings O/U 4.5,mlb-tor-wsh-2026-07-28-f5-total-4pt5,0.465,0.48,116.25,1,0,41.99,0,Trader05,
IGNORE,0,23.15916666666666666666666667,0xc4715125e42f84661b78d76244bdc9aac2ba6098943b68834c3c1c27e9de322a,Over,111924580456684818013293175651814802961650478315240702223843008240824043859940,Houston Astros vs. Los Angeles Angels: 1st 5 Innings O/U 4.5,mlb-hou-laa-2026-07-28-f5-total-4pt5,0.465,0.45,116.25,1,0,41.99,0,Trader05,
IGNORE,0,23.10916666666666666666666667,0xa2350688a633638fd38311bfc4b053e4efdcfd23bbf207ea31ee336b03bd8a6e,Under,113334454535220484262264549751692805988764494952561273320567347087799706731575,Kansas City Royals vs. Minnesota Twins: 1st 5 Innings O/U 4.5,mlb-kc-min-2026-07-28-f5-total-4pt5,0.445,0.46,111.25,1,0,41.99,0,Trader05,
IGNORE,0,23.10912966666666666666666667,0xe47c0045c0c980d773d6562b2123b4339f8a995bec507ca7213747e07b41a808,Over,19073582303148423372659408850340487745192246379458018364728456412308138998462,New York Yankees vs. Chicago White Sox: O/U 8.5,mlb-nyy-cws-2026-07-28-total-8pt5,0.445,0.45,111.2463,1,0,41.99,0,Trader05,
IGNORE,0,23.05916666666666666666666667,0xfd641fe5e7d4b87f30c33852072a4c672e30a202846126a3317cba0489b94e7e,Under,10207227185358035851637638493119760373370926407657963631730849120837691210116,Houston Astros vs. Los Angeles Angels: O/U 7.5,mlb-hou-laa-2026-07-28-total-7pt5,0.425,0.43,106.25,1,0,41.99,0,Trader05,
IGNORE,0,23.05326866666666666666666667,0x8690f73f36a1fcfdc0c43e1935ca4a7ebb8a948976d69d10f678ca96473f1f75,Under,52159522726964146294099853438483737714398183337376886555182768026700229604468,O/U 1.5 Rounds,ufc-oba-mic37-2026-08-01-totals-1pt5,0.405,0.38,105.6602,1,0,41.99,0,Trader05,
IGNORE,0,23.03135166666666666666666667,0xb9d5a574affc17ac7bf9d510de04caed526fdb7434127e148557018d5b589cfc,Under,7014443183854567758305263422674779029674697299943970511553959615393615204479,Toronto Tempo vs. Minnesota Lynx: O/U 184.5,wnba-tor-min-2026-07-28-total-184pt5,0.45,0.465,103.4685,1,0,41.99,0,Trader05,
IGNORE,0,22.88587766666666666666666667,0xf783b018f13171e619d04c6b7228c3361837740e93555564e9763ff6ac11212f,Yes,1781029216356314887426394302960612137758411898024635891667992752107385235101,Will Universitatea Craiova CS win on 2026-07-29?,ucl-ucr-pls-2026-07-29-ucr,0.515,0.49,88.9211,1,0,41.99,0,Trader05,
IGNORE,0,22.82938966666666666666666667,0x4c006c442d090f35d45fd916693ff1ab313e3293cdb7d5b272b64f66a91a6504,No,72500409118542838221909284792791440477430888356972281090974607984823311310032,Shakira Austin: Points O/U 14.5,wnba-conn-wsh-2026-07-28-points-shakira-austin-14pt5,0.475,0.4795,83.2723,1,0,41.99,0,Trader05,
IGNORE,0,22.81837666666666666666666667,0xad27ab886c87aee34fd85764118b76920d16334f619d2df09790912bdf6add91,Under,47061247031887476164092587175601410463513339191271360359620072669527268708672,Tyler Stephenson: Home Runs O/U 0.5,mlb-cle-cin-2026-07-27-hr-tyler-stephenson-0pt5,0.5,0.81,82.171,1,0,41.99,0,Trader05,
