condition_id,asset,title,slug,outcome,traders,entry_supporting_traders,supporting_traders,date_first_seen,entry_price,current_price,consensus_active,status,exit_price,pct_return,last_updated
0x0255d4b6bb67a326965348838a136260839d10a8db717538de1fc8f05777a683,19983049049946508685287717007666313420657812258964181094087155790657473003516,Kansas City Royals vs. Detroit Tigers,mlb-kc-det-2026-07-24,Kansas City Royals,"Trader03, Trader05",2,1,2026-07-25 00:40 UTC,0.1802952873026105199315825828,0.115,no,CLOSED,0.115,-36.22,2026-07-25 00:52 UTC
0x24afbaf5bbbcbece7e5125f0da84b36d945147e5042fcedce7689c1d7d8e8e45,68840212255255181758389084878227076608810852044886784866432451354613139454086,Cleveland Guardians vs. Tampa Bay Rays,mlb-cle-tb-2026-07-24,Cleveland Guardians,"Trader05, Trader10",2,1,2026-07-24 19:24 UTC,0.4496632194500895138251612883,0.024,no,CLOSED,0.024,-94.66,2026-07-25 01:00 UTC
0xab3e0308e7ebe7d59027c06aa80ced24e852c0c31c56a4ee83a0b57b9f78cf37,4461435659092943708509321871993109626815361852602690468705350467315447686716,Arizona Diamondbacks vs. Washington Nationals,mlb-ari-wsh-2026-07-24,Washington Nationals,"Trader05, Trader09",2,1,2026-07-25 00:30 UTC,0.4512872426422257912881185172,0.175,no,CLOSED,0.175,-61.22,2026-07-25 01:26 UTC
0x3608f3900a92a9f94611e9c3881009b4f87a7cff2ed53f2082a8f7dac7c3a051,68314181831088628705699116286147686552171308929929143346980697887448848373021,New York Yankees vs. Philadelphia Phillies,mlb-nyy-phi-2026-07-24,New York Yankees,"Trader05, Trader10",2,0,2026-07-24 11:46 UTC,0.3993646471522577717267982755,0.9995,no,CLOSED,0.9995,150.27,2026-07-25 01:38 UTC
0x502b06a037eac51ddcf30e45097cf0c98aefc8069e9672e704c161190d053c6c,8176206652907006931233742990240043898488409525631189875436633200777530716221,Chicago Cubs vs. Pittsburgh Pirates,mlb-chc-pit-2026-07-24,Chicago Cubs,"Trader03, Trader05",2,0,2026-07-25 00:48 UTC,0.5001595558618359642381701422,0.9995,no,CLOSED,0.9995,99.84,2026-07-25 01:38 UTC
0x5f3cc580f1c8652a781aaa7e4da2f1ac8c3304863abf6b4f2db55bb2e3b19eed,31114057561853397436174747626499801730291623902716475005703134601571226369048,San Diego Padres vs. Miami Marlins,mlb-sd-mia-2026-07-24,San Diego Padres,"Trader03, Trader05",2,0,2026-07-25 00:42 UTC,0.4568662327337667637916670797,0.9995,no,CLOSED,0.9995,118.77,2026-07-25 02:36 UTC
0xd6b11ac29c027255c793e07f8fcf6ed171420131749d6a631ceae7d923c63fdf,83209612692171946719594590875841290137870002096474669074218939178765081023104,Toronto Blue Jays vs. Boston Red Sox,mlb-tor-bos-2026-07-24,Boston Red Sox,"Trader05, Trader09",2,0,2026-07-24 21:40 UTC,0.5301345402079145651182005401,0.9995,no,CLOSED,0.9995,88.54,2026-07-25 02:52 UTC
0x20e75b70b31219cae01cd1b607304d4ef68b1f91a374ee33802d0c4df3fa3079,115485137628204200568637748030958954612218199305473229771364636226805697850958,Athletics vs. Minnesota Twins,mlb-oak-min-2026-07-24,Minnesota Twins,"Trader03, Trader09",2,1,2026-07-25 01:06 UTC,0.5835396592350915352546673917,0.0005,no,CLOSED,0.0005,-99.91,2026-07-25 03:02 UTC
0x88ec7b21be678fa914ed480702cb474f354199cd91ef60eb0f6bc3123304fcb8,19713915722261553004367926011040653475074548230809263539572714662050802140296,Cincinnati Reds vs. St. Louis Cardinals,mlb-cin-stl-2026-07-24,Cincinnati Reds,"Trader05, Trader10",2,0,2026-07-24 20:56 UTC,0.4082051086546193969825599536,0.9995,no,CLOSED,0.9995,144.85,2026-07-25 03:08 UTC
0x8a792741f02cb0b7d6a5ecd2c337452c36700632a4b77ea112ac9a624c909b83,105253545801074212795799190515835066997674160099202124211047696813104086454207,Cincinnati Reds vs. St. Louis Cardinals: O/U 8.5,mlb-cin-stl-2026-07-24-total-8pt5,Under,"Trader03, Trader05",2,0,2026-07-25 00:01 UTC,0.54,0.9995,no,CLOSED,0.9995,85.09,2026-07-25 03:08 UTC
0x82da0aefde76d66a0d4727ce05ac011089a8a0b7072a83e46751b1b913d021d0,79382695619455420846259486106534604380570030235533064517810085103531898574012,Seattle Mariners vs. Texas Rangers,mlb-sea-tex-2026-07-24,Texas Rangers,"Trader03, Trader09",2,0,2026-07-25 00:12 UTC,0.49,0.9995,no,CLOSED,0.9995,103.98,2026-07-25 03:16 UTC
0xddff5bf0a6eeb66f9dace592a9963161952a9a07e333c9474f4fa4da023bc58f,94510819221409582185172863451189380256120508832914079426416256704087236707049,Houston Astros vs. Chicago White Sox,mlb-hou-cws-2026-07-24,Chicago White Sox,"Trader05, Trader06",2,1,2026-07-24 21:52 UTC,0.54,0.0005,no,CLOSED,0.0005,-99.91,2026-07-25 03:22 UTC
0xfd2052594f25def40a18550640ee55714e2b45e1302e1ed59a8b96427742992d,40180577439693708452987018689356388198535720241776528427831303289493228384534,Atlanta Braves vs. Chicago White Sox: O/U 8.5,mlb-atl-cws-2026-06-11-total-8pt5,Under,"Trader01, Trader14",2,1,2026-07-22 23:11 UTC,0.4983913650148368928036169119,0.285,no,CLOSED,0.285,-42.82,2026-07-25 12:19 UTC
0x06814ebb7f5f15be4c45be48637fd32f70a3a3e0c7c854a672cf126736799053,76593681445067597728286749309771651525844928827692449330442473977153112797014,"UFC Fight Night: Ramazan Temirov vs. Steve Erceg (Flyweight, Main Card)",ufc-ram10-ste14-2026-07-25,Ramazan Temirov,"Trader05, Trader14",2,1,2026-07-23 04:56 UTC,0.4990173614790245004522660362,0.495,no,CLOSED,0.495,-0.81,2026-07-25 12:19 UTC
0xf15eabcf53075afd39f4d0f62740e54766d742595380617ae00c6074ef79f039,21808954896720721608115079446987778901841606694762977721705437278433419993661,"UFC Fight Night: Magomed Ankalaev vs. Bogdan Guskov (Light Heavyweight, Main Card)",ufc-mag1-bog1-2026-07-25,Magomed Ankalaev,"Trader05, Trader14",2,1,2026-07-23 16:38 UTC,0.8141931034482758620689655172,0.825,no,CLOSED,0.825,1.33,2026-07-25 12:19 UTC
0x8c0cdd9424e411fc26ffc811515f9941630f1e3b48e11c5747f694110137d9de,95216585232134613965434593956333560856376212487577598784319385492344735754920,"UFC Fight Night: Mike Davis vs. Nurullo Aliev (Lightweight, Prelims)",ufc-mik1-nur-2026-07-25,Mike Davis,"Trader05, Trader14",2,1,2026-07-24 06:01 UTC,0.3317230253803444367956375748,0.325,no,CLOSED,0.325,-2.03,2026-07-25 12:19 UTC
