condition_id,asset,title,slug,outcome,traders,date_first_seen,signal_price,fill_price_buy,stake_usd_requested,stake_usd_actual,shares_held,order_id_buy,status,fill_price_sell,order_id_sell,realized_pnl_usd,pct_return,date_closed,last_updated
0xbf1148bb5341a7d8a077acccfc5e2de6b98d386e26621b0ec233634ea9fea93b,23337975190667432063297286005051597315733742665599294925561945178595807421047,Houston Astros vs. Los Angeles Angels,mlb-hou-laa-2026-07-28,Houston Astros,"Trader05, Trader06",2026-07-28 19:42:06 UTC,0.495,0.5,20.0,19.890,39.78,0x15cd01a2a2ba16cc47f9940789b444b0b09eb15fac43a8e7c5473e42f9c218af,WON_UNREDEEMED,1,,,,2026-07-29 04:56:04 UTC,2026-07-29 04:56:04 UTC
0x5428aa81f6377d5fe8c8df2ef7b861c9f1ef67b23b77e725acf499b44217f3e6,29470070804130688459605616907450624647579759072633667708663049869978507039837,Cleveland Guardians vs. Cincinnati Reds,mlb-cle-cin-2026-07-27,Cincinnati Reds,"Trader03, Trader05",2026-07-28 20:36:07 UTC,0.055,,20.0,,,,ERROR,,,,,,2026-07-28 20:38:03 UTC
0x59d2fc404ff56828ed2b6f2ae4cd765de2f608248d6038f4e588b8a2ecaae443,44413446317283308241643742830638549351214897739549279170016133340923901843301,Philadelphia Phillies vs. Miami Marlins,mlb-phi-mia-2026-07-28,Philadelphia Phillies,"Trader05, Trader09",2026-07-28 20:58:07 UTC,0.455,0.4599999925430595202269743543,20.0,19.73999900000000000000000000,42.913042,0x14b9f15428a37035e1aefc607757373383e1d341c35614335e34715ce470d5b6,LOST,0,,-19.73999900000000000000000000,-100,2026-07-29 04:53:19 UTC,2026-07-29 04:53:19 UTC
0xa9c6a617a28b904b2b24fede0f89a45e49c5d8199c8c7f28d1a40870a8cc1817,38710098663329840046338289577279151052646384437877342923181077545666376255385,Atlanta Braves vs. New York Mets,mlb-atl-nym-2026-07-28,Atlanta Braves,"Trader05, Trader09",2026-07-28 21:12:06 UTC,0.595,0.5999999938524587644450313297,20.0,19.51999900000000000000000000,32.533332,0xd1473fbc1fcb60d0c91b219947a71a03112ac1f3074e01b89fb2b894ea3aa52c,EXECUTED,,,,,,2026-07-28 21:14:04 UTC
0xaca52e038f90033025c5618c2fb73921e697f2f09196b69b2cf07e7068983888,70846461654547109229040915327624269403496277841437011851638045130815692269096,New York Yankees vs. Chicago White Sox,mlb-nyy-cws-2026-07-28,New York Yankees,"Trader05, Trader09",2026-07-28 21:44:06 UTC,0.525,0.5299999904504501445589635895,20.0,19.97999900000000000000000000,37.698112,0x83dc6f0786cc59740fa200e14bc115b944496fc805de61ab7217e968058c8cbf,WON_UNREDEEMED,1,,,,2026-07-29 04:53:20 UTC,2026-07-29 04:53:20 UTC
0xddced8c82aebc5ff2840f853863389d9a2ea8ad9868927e46398810f5e54181a,10323495019409557621683221136445971777328982606611823545965925306186084124027,Boston Red Sox vs. Athletics,mlb-bos-oak-2026-07-28,Boston Red Sox,"Trader05, Trader10",2026-07-28 22:08:06 UTC,0.5649,0.5699999913286000978712002287,20.0,19.71999900000000000000000000,34.59649,0x9fcbff9a2a3aa2fa01615f46ec9492558c9221350a4e66a566eab80a5d16b21d,CLOSED,0.57,0x947d2707291075207fda499ebef7e29203313b3d59ebc6add1a6e03fbc5226e6,2.999999999999999999997827370E-7,0.000001521298251587132433400,2026-07-28 23:32:04 UTC,2026-07-28 23:32:04 UTC
0x818751cc1b089a0b217376b7ee470f44b363d77f0aab9e282b9cbe540fd486d1,45101806198641653968677421848705175119553212001806765636246217462862916812692,Connecticut Sun vs. Washington Mystics,wnba-conn-wsh-2026-07-28,Connecticut Sun,"Trader05, Trader15",2026-07-28 23:20:07 UTC,0.305,,20.0,,,,ERROR,,,,,,2026-07-28 23:22:04 UTC
0xb94639b167e24b6ab0caac746d383ca4500dc656c083b249097f0fa71f6ab5c7,114581049793838841064692125996265174830375906537706469132856896993754072589542,Seattle Mariners vs. Los Angeles Dodgers,mlb-sea-lad-2026-07-28,Los Angeles Dodgers,"Trader03, Trader09",2026-07-29 00:12:07 UTC,0.675,0.6799999959097742556692403503,20.0,19.94999900000000000000000000,29.338234,0x355d8d9ee9168786e261b30a529e9057f31f509c12824016e6096bd48022542a,LOST,0,,-19.94999900000000000000000000,-100,2026-07-29 05:14:04 UTC,2026-07-29 05:14:04 UTC
0xa43e1d0f5e19666425c3a8aee6ead282b7246de028150c683c9081b99cdc96f8,83785615688994923160073482167450059957236028900093718798774697958247563281922,Spread: Las Vegas Aces (-12.5),wnba-por-las-2026-07-28-spread-home-12pt5,Las Vegas Aces,"Trader05, Trader15",2026-07-29 00:50:07 UTC,0.485,0.4899999938749997703124913867,20.0,19.99999900000000000000000000,40.816325,0x0f753b499a13385f3b6b71e2027a1004c28e64e791e0f2a887f69d49cb2b3caa,WON_UNREDEEMED,1,,,,2026-07-29 04:53:20 UTC,2026-07-29 04:53:20 UTC
0x85cdc38e839fe19a30cca97e05c668ab6028e8db377de739e82169f5f26ffa60,9614038759572110950658395665602532366199458665591960430725500161541476338205,Kansas City Royals vs. Minnesota Twins,mlb-kc-min-2026-07-28,Minnesota Twins,"Trader03, Trader09",2026-07-29 01:20:07 UTC,0.295,0.34,20.0,19.890,58.5,0x3d4565c393fd31ce8802b11f3419e293b54fb767db150c30ebabd8ebddde692a,WON_UNREDEEMED,1,,,,2026-07-29 04:53:20 UTC,2026-07-29 04:53:20 UTC
